name,class,degree,ring,NetRank,NetShort,HeatDiff,InfoDiff
cg00394221_FCRL1,1,4113,1,9.052572e-01,2.281636e+03,3.524608e-01,2.276650e-01
cg00755661_CTTNBP2NL,1,4077,1,8.943395e-01,2.250929e+03,4.104948e-01,2.275787e-01
cg01343097_OR2M1P,1,3916,1,6.761674e-01,2.697290e+03,1.546465e+00,2.277933e-01
cg01833436_SDCCAG8,1,4280,1,6.128304e-01,2.922246e+03,1.893043e+00,2.272964e-01
cg01833436_AKT3,1,4280,1,6.128304e-01,2.922246e+03,1.893043e+00,2.272964e-01
cg01943585_CTTNBP2NL,1,4334,1,8.951471e-01,2.305449e+03,4.140738e-01,2.270696e-01
cg01971755_KIF21B,1,4306,1,9.061027e-01,2.283748e+03,3.546714e-01,2.270921e-01
cg02395088_KIF21B,1,4323,1,9.060501e-01,2.285622e+03,3.557490e-01,2.271105e-01
cg03138364_PBX1,1,4234,1,5.514977e-01,3.209432e+03,2.213691e+00,2.271127e-01
cg04012896_KIF21B,1,4222,1,9.057679e-01,2.280390e+03,3.541618e-01,2.271997e-01
cg05365320_KIF21B,1,4324,1,9.060952e-01,2.283748e+03,3.556913e-01,2.273110e-01
cg07134804_KIF21B,1,4290,1,9.059826e-01,2.283748e+03,3.544958e-01,2.273798e-01
cg07344172_KIF21B,1,4330,1,9.061357e-01,2.283186e+03,3.551435e-01,2.273326e-01
cg07561747_KIF21B,1,3777,1,9.044268e-01,2.333744e+03,3.548032e-01,2.225881e-01
cg08732375_IGSF3,1,4092,1,5.960453e-01,2.970615e+03,1.974394e+00,2.277195e-01
cg08933467_FCRL1,1,4118,1,9.052999e-01,2.347692e+03,3.562067e-01,2.255474e-01
cg09251328_OAZ3,1,3989,1,6.496966e-01,2.750015e+03,1.688114e+00,2.277803e-01
cg09478478_CD1E,1,4336,1,8.892693e-01,2.316793e+03,4.449407e-01,2.272180e-01
cg09664215_CD1E,1,4349,1,8.892984e-01,2.319522e+03,4.455252e-01,2.271037e-01
cg10500219_MED8,1,4336,1,8.765854e-01,2.392716e+03,5.118495e-01,2.260192e-01
cg10785099_KIF21B,1,4052,1,9.047052e-01,2.278217e+03,3.519335e-01,2.278441e-01
cg10976626_CD1E,1,4350,1,8.894517e-01,2.365723e+03,4.479739e-01,2.264483e-01
cg11810135_FCRL1,1,4018,1,9.053114e-01,2.310242e+03,3.537226e-01,2.261239e-01
cg12857074_KIF21B,1,4388,1,9.064953e-01,2.291414e+03,3.560897e-01,2.267407e-01
cg14166284_HLX,1,4115,1,6.145629e-01,2.888845e+03,1.878491e+00,2.275952e-01
cg14172846_CTTNBP2NL,1,3903,1,8.929349e-01,2.296667e+03,4.079513e-01,2.279394e-01
cg14528147_CTTNBP2NL,1,4303,1,8.948592e-01,2.355127e+03,4.150769e-01,2.271358e-01
cg16649915_OR2M1P,1,4271,1,6.788708e-01,2.706467e+03,1.547506e+00,2.273266e-01
cg17138539_MED8,1,4265,1,8.757725e-01,2.342731e+03,5.123189e-01,2.271743e-01
cg17240157_PBX1,1,4263,1,6.502030e-01,2.771949e+03,1.696646e+00,2.273624e-01
cg17492795_PTPN14,1,4274,1,6.271698e-01,2.853052e+03,1.817749e+00,2.273778e-01
cg17876641_KIF21B,1,4288,1,9.060869e-01,2.282251e+03,3.549322e-01,2.270228e-01
cg17889623_KIF21B,1,3625,1,9.024705e-01,2.281210e+03,3.501583e-01,2.249192e-01
cg18350545_OR2M1P,1,4171,1,6.781826e-01,2.713452e+03,1.546594e+00,2.269167e-01
cg18535415_KIF21B,1,3531,1,9.028050e-01,2.333499e+03,3.539984e-01,2.214908e-01
cg18964985_OR2M1P,1,4114,1,6.776391e-01,2.711557e+03,1.547295e+00,2.276049e-01
cg19322509_MED8,1,4276,1,8.759633e-01,2.344447e+03,5.112657e-01,2.271947e-01
cg20157003_ANKRD45,1,3976,1,6.134387e-01,2.883004e+03,1.878055e+00,2.277490e-01
cg20944548_GSTM2,1,4322,1,7.591446e-01,2.570390e+03,1.127658e+00,2.271586e-01
cg21170029_LAMB3,1,4082,1,7.043987e-01,2.651938e+03,1.405136e+00,2.277464e-01
cg21218687_KIF21B,1,4319,1,9.060709e-01,2.294399e+03,3.585963e-01,2.269827e-01
cg21406113_KIF21B,1,4184,1,9.053534e-01,2.280913e+03,3.548250e-01,2.276465e-01
cg22025570_AJAP1,1,3966,1,6.173261e-01,2.866703e+03,1.856845e+00,2.276438e-01
cg22156852_CTTNBP2NL,1,4370,1,8.953731e-01,2.307430e+03,4.134751e-01,2.272998e-01
cg22448090_KIF21B,1,4384,1,9.065978e-01,2.327834e+03,3.573432e-01,2.262987e-01
cg23934072_KIF21B,1,4321,1,9.061469e-01,2.335708e+03,3.594830e-01,2.251583e-01
cg24344394_FCRL1,1,4008,1,9.045346e-01,2.282444e+03,3.518719e-01,2.277360e-01
cg25132662_TGFB2,1,4297,1,6.126812e-01,2.926301e+03,1.895135e+00,2.270703e-01
cg25196088_CAMTA1,1,4104,1,6.443687e-01,2.766263e+03,1.721448e+00,2.277116e-01
cg25378117_FCGR2A,1,4075,1,7.849572e-01,2.509070e+03,9.846368e-01,2.269097e-01
cg25969983_KIF21B,1,4338,1,9.062345e-01,2.281394e+03,3.549093e-01,2.273231e-01
cg26014409_CD1E,1,3776,1,8.857378e-01,2.335581e+03,4.469314e-01,2.268539e-01
cg26800202_KIF21B,1,4183,1,9.054558e-01,2.276035e+03,3.543532e-01,2.274237e-01
cg27386431_KIF21B,1,4145,1,9.054230e-01,2.328668e+03,3.554866e-01,2.250127e-01
cg27578319_KIF21B,1,4167,1,9.053588e-01,2.283269e+03,3.542932e-01,2.269438e-01
cg00116699_HDAC4,1,4255,1,5.918124e-01,3.020327e+03,2.002836e+00,2.273019e-01
cg00372692_ICOS,1,4401,1,8.437729e-01,2.412613e+03,6.876063e-01,2.258543e-01
cg00554973_BCL2L11,1,4268,1,8.852808e-01,2.325787e+03,4.627325e-01,2.275016e-01
cg00744739_PRR21,1,4005,1,5.987628e-01,2.960659e+03,1.957065e+00,2.274702e-01
cg00908117_LTBP1,1,2202,1,7.028248e-01,2.522857e+03,1.380002e+00,2.279972e-01
cg01159793_MYEOV2,1,4256,1,6.203601e-01,2.884805e+03,1.852792e+00,2.272126e-01
cg01196744_COLEC11,1,4083,1,6.324580e-01,2.803821e+03,1.782917e+00,2.277177e-01
cg01268021_LTBP1,1,4371,1,7.062438e-01,2.668773e+03,1.406686e+00,2.271921e-01
cg01472363_ZNF2,1,4278,1,8.750823e-01,2.348009e+03,5.175546e-01,2.270598e-01
cg01579629_NGEF,1,4092,1,6.304488e-01,2.815083e+03,1.793410e+00,2.277499e-01
cg01585592_ZNF2,1,4303,1,8.751282e-01,2.347491e+03,5.170531e-01,2.274012e-01
cg01590866_LTBP1,1,4386,1,7.063648e-01,2.670516e+03,1.406763e+00,2.272634e-01
cg01681351_TPO,1,4248,1,6.548004e-01,2.766428e+03,1.673608e+00,2.263096e-01
cg01879273_AGAP1,1,3749,1,5.456288e-01,3.143314e+03,2.222596e+00,2.280051e-01
cg01929367_MYEOV2,1,4151,1,6.864883e-01,2.685032e+03,1.501922e+00,2.276133e-01
cg01930460_ZNF2,1,3905,1,8.729003e-01,2.331998e+03,5.127284e-01,2.275024e-01
cg02489219_C2orf66,1,4174,1,8.205478e-01,2.450880e+03,8.012912e-01,2.273193e-01
cg02609263_LTBP1,1,3130,1,7.004222e-01,2.619314e+03,1.393191e+00,2.260270e-01
cg03071146_ASB3,1,3988,1,8.986194e-01,2.338566e+03,3.865183e-01,2.265039e-01
cg03147598_IMP4,1,4237,1,6.537314e-01,2.786710e+03,1.677653e+00,2.271383e-01
cg03172098_LTBP1,1,4030,1,7.047227e-01,2.647629e+03,1.402480e+00,2.277649e-01
cg03347837_TPO,1,4219,1,6.382581e-01,2.797354e+03,1.758645e+00,2.273950e-01
cg03893913_SNTG2,1,4162,1,6.253251e-01,2.847426e+03,1.823617e+00,2.273202e-01
cg04745820_LTBP1,1,3874,1,7.034463e-01,2.647397e+03,1.402014e+00,2.269217e-01
cg06223562_BCL2L11,1,4407,1,8.858807e-01,2.337288e+03,4.672506e-01,2.270672e-01
cg06284438_C2orf66,1,4198,1,8.208331e-01,2.452600e+03,7.983403e-01,2.275515e-01
cg06492287_SNTG2,1,4300,1,6.371819e-01,2.809688e+03,1.766763e+00,2.271825e-01
cg07020453_TSSC1,1,4171,1,6.732167e-01,2.711369e+03,1.572364e+00,2.275494e-01
cg07119076_LTBP1,1,4299,1,7.059404e-01,2.664744e+03,1.405576e+00,2.273178e-01
cg07895807_LTBP1,1,4271,1,7.059026e-01,2.666609e+03,1.408373e+00,2.272079e-01
cg08175640_LTBP1,1,4142,1,7.049502e-01,2.655412e+03,1.409054e+00,2.273445e-01
cg08808959_HDAC4,1,4227,1,6.301228e-01,2.833720e+03,1.800144e+00,2.274630e-01
cg08818866_LTBP1,1,3801,1,7.071428e-01,2.613099e+03,1.398757e+00,2.271071e-01
cg09677007_AGAP1,1,4109,1,5.640103e-01,3.120347e+03,2.142907e+00,2.276563e-01
cg10755516_ZNF2,1,4301,1,8.752196e-01,2.346079e+03,5.175606e-01,2.274230e-01
cg11865223_LTBP1,1,4161,1,7.054926e-01,2.666025e+03,1.407212e+00,2.261153e-01
cg11918450_LTBP1,1,3665,1,7.027229e-01,2.642072e+03,1.400977e+00,2.266460e-01
cg11938080_GNLY,1,4104,1,8.623422e-01,2.366393e+03,5.785804e-01,2.267070e-01
cg12210094_LTBP1,1,4266,1,7.056689e-01,2.666086e+03,1.406437e+00,2.274283e-01
cg12815355_C2orf3,1,4210,1,5.819922e-01,3.050508e+03,2.052855e+00,2.274595e-01
cg12915585_MYT1L,1,3545,1,5.487205e-01,3.086230e+03,2.201741e+00,2.275558e-01
cg12924525_TSSC1,1,4331,1,6.414137e-01,2.798002e+03,1.745340e+00,2.272909e-01
cg13265607_LTBP1,1,3937,1,7.046173e-01,2.764991e+03,1.406265e+00,2.153842e-01
cg13603214_GNLY,1,3707,1,8.666213e-01,2.339841e+03,5.713982e-01,2.228291e-01
cg13652008_LTBP1,1,2964,1,6.983793e-01,2.621976e+03,1.393696e+00,2.250411e-01
cg13858407_SH3BP4,1,3793,1,6.224100e-01,2.824604e+03,1.830135e+00,2.280005e-01
cg14392843_LTBP1,1,4390,1,7.063688e-01,2.667641e+03,1.406878e+00,2.272883e-01
cg14475035_BCL2L11,1,2884,1,8.778570e-01,2.252890e+03,4.475528e-01,2.284141e-01
