cg00394221_FCRL1 0.832421 1
cg00755661_CTTNBP2NL 0.831663 1
cg01343097_OR2M1P 0.835457 1
cg01833436_SDCCAG8 0.834424 1
cg01833436_AKT3 0.834424 1
cg01943585_CTTNBP2NL 0.835524 1
cg01971755_KIF21B 0.835134 1
cg02395088_KIF21B 0.835251 1
cg03138364_PBX1 0.832655 1
cg04012896_KIF21B 0.834234 1
cg05365320_KIF21B 0.835244 1
cg07134804_KIF21B 0.835037 1
cg07344172_KIF21B 0.835308 1
cg07561747_KIF21B 0.826763 1
cg08732375_IGSF3 0.834999 1
cg08933467_FCRL1 0.833062 1
cg09251328_OAZ3 0.836233 1
cg09478478_CD1E 0.835607 1
cg09664215_CD1E 0.835595 1
cg10500219_MED8 0.835781 1
cg10785099_KIF21B 0.831281 1
cg10976626_CD1E 0.835696 1
cg11810135_FCRL1 0.830983 1
cg12857074_KIF21B 0.835415 1
cg14166284_HLX 0.835411 1
cg14172846_CTTNBP2NL 0.828837 1
cg14528147_CTTNBP2NL 0.835585 1
cg16649915_OR2M1P 0.835569 1
cg17138539_MED8 0.835415 1
cg17240157_PBX1 0.835328 1
cg17492795_PTPN14 0.834890 1
cg17876641_KIF21B 0.835002 1
cg17889623_KIF21B 0.824773 1
cg18350545_OR2M1P 0.835963 1
cg18535415_KIF21B 0.824276 1
cg18964985_OR2M1P 0.836100 1
cg19322509_MED8 0.835517 1
cg20157003_ANKRD45 0.835708 1
cg20944548_GSTM2 0.835670 1
cg21170029_LAMB3 0.836356 1
cg21218687_KIF21B 0.835264 1
cg21406113_KIF21B 0.833676 1
cg22025570_AJAP1 0.835801 1
cg22156852_CTTNBP2NL 0.835524 1
cg22448090_KIF21B 0.835457 1
cg23934072_KIF21B 0.835495 1
cg24344394_FCRL1 0.830584 1
cg25132662_TGFB2 0.834281 1
cg25196088_CAMTA1 0.835942 1
cg25378117_FCGR2A 0.835240 1
cg25969983_KIF21B 0.835308 1
cg26014409_CD1E 0.826998 1
cg26800202_KIF21B 0.833624 1
cg27386431_KIF21B 0.833309 1
cg27578319_KIF21B 0.833332 1
cg00116699_HDAC4 0.833922 1
cg00372692_ICOS 0.835433 1
cg00554973_BCL2L11 0.835262 1
cg00744739_PRR21 0.835300 1
cg00908117_LTBP1 0.818750 1
cg01159793_MYEOV2 0.834809 1
cg01196744_COLEC11 0.835853 1
cg01268021_LTBP1 0.835115 1
cg01472363_ZNF2 0.835558 1
cg01579629_NGEF 0.835782 1
cg01585592_ZNF2 0.835696 1
cg01590866_LTBP1 0.835001 1
cg01681351_TPO 0.835435 1
cg01879273_AGAP1 0.834610 1
cg01929367_MYEOV2 0.836092 1
cg01930460_ZNF2 0.829426 1
cg02489219_C2orf66 0.835662 1
cg02609263_LTBP1 0.823645 1
cg03071146_ASB3 0.830755 1
cg03147598_IMP4 0.835413 1
cg03172098_LTBP1 0.836372 1
cg03347837_TPO 0.835415 1
