name,class,degree,ring,NetRank,NetShort,HeatDiff,InfoDiff,ring,NetRank,NetShort,HeatDiff,InfoDiff,labels
cg00394221_FCRL1,1,4113,1,0.9052572,2281.636,0.3524608,0.227665,1,0.9052572,0.8146811573621591,0.3524608,0.227665,1
cg00755661_CTTNBP2NL,1,4077,1,0.8943395,2250.929,0.4104948,0.2275787,1,0.8943395,0.7719288719589453,0.4104948,0.2275787,1
cg01343097_OR2M1P,1,3916,1,0.6761674,2697.29,1.546465,0.2277933,1,0.6761674,1.3933817284693162,1.546465,0.2277933,1
cg01833436_SDCCAG8,1,4280,1,0.6128304,2922.246,1.893043,0.2272964,1,0.6128304,1.7065801234660725,1.893043,0.2272964,1
cg01833436_AKT3,1,4280,1,0.6128304,2922.246,1.893043,0.2272964,1,0.6128304,1.7065801234660725,1.893043,0.2272964,1
cg01943585_CTTNBP2NL,1,4334,1,0.8951471,2305.449,0.4140738,0.2270696,1,0.8951471,0.8478351669465124,0.4140738,0.2270696,1
cg01971755_KIF21B,1,4306,1,0.9061027,2283.748,0.3546714,0.2270921,1,0.9061027,0.8176216213205917,0.3546714,0.2270921,1
cg02395088_KIF21B,1,4323,1,0.9060501,2285.622,0.355749,0.2271105,1,0.9060501,0.8202307261776476,0.355749,0.2271105,1
cg03138364_PBX1,1,4234,1,0.5514977,3209.432,2.213691,0.2271127,1,0.5514977,2.106419177616832,2.213691,0.2271127,1
cg04012896_KIF21B,1,4222,1,0.9057679,2280.39,0.3541618,0.2271997,1,0.9057679,0.8129463950078943,0.3541618,0.2271997,1
cg05365320_KIF21B,1,4324,1,0.9060952,2283.748,0.3556913,0.227311,1,0.9060952,0.8176216213205917,0.3556913,0.227311,1
cg07134804_KIF21B,1,4290,1,0.9059826,2283.748,0.3544958,0.2273798,1,0.9059826,0.8176216213205917,0.3544958,0.2273798,1
cg07344172_KIF21B,1,4330,1,0.9061357,2283.186,0.3551435,0.2273326,1,0.9061357,0.8168391683165014,0.3551435,0.2273326,1
cg07561747_KIF21B,1,3777,1,0.9044268,2333.744,0.3548032,0.2225881,1,0.9044268,0.8872293088517438,0.3548032,0.2225881,1
