name,class,degree,ring,NetRank,NetShort,HeatDiff,InfoDiff
cg15694422_MGLL,1,460,1,8.444749e-01,4.158629e+02,1.078528e+00,1.987170e-01
cg02116768_FOXK2,1,761,1,8.837594e-01,4.260477e+02,8.031343e-01,7.900128e-02
cg13675051_RNF19A,1,690,1,8.848583e-01,4.083568e+02,7.923298e-01,9.466676e-02
cg22644321_TRIB1,1,1290,1,8.981526e-01,4.192999e+02,7.278658e-01,4.425301e-02
cg18881723_SLAMF1,1,1054,1,8.971568e-01,4.154734e+02,7.231610e-01,4.457352e-02
cg14173033_FOXK2,1,574,1,8.804242e-01,4.088441e+02,8.134011e-01,1.189776e-01
cg26582754_PHACTR2,1,530,1,8.765341e-01,4.037095e+02,8.509538e-01,1.379405e-01
cg07109046_FOXO1,1,336,1,8.627354e-01,4.177366e+02,8.640154e-01,2.596214e-01
cg20758823_RUNX2,1,913,1,8.976462e-01,4.119687e+02,7.088934e-01,6.491947e-02
cg09324018_FAM49A,1,742,1,8.764751e-01,4.284204e+02,8.526595e-01,8.758162e-02
cg22832271_ARID5B,1,932,1,8.862123e-01,4.265389e+02,7.959892e-01,5.706022e-02
cg03688134_PLXNC1,1,975,1,8.983900e-01,4.116850e+02,7.063624e-01,5.893108e-02
cg17776881_MEF2C,1,577,1,8.765874e-01,4.072337e+02,8.461182e-01,1.229242e-01
cg19397277_PAG1,1,981,1,8.865947e-01,4.291563e+02,7.959125e-01,6.032621e-02
cg01447281_RERE,1,798,1,8.976830e-01,4.127318e+02,7.200299e-01,5.597288e-02
cg24597363_MAEA,1,1196,1,8.998106e-01,4.161492e+02,7.097285e-01,4.976057e-02
cg10746778_SORL1,1,686,1,8.973945e-01,3.916453e+02,6.965335e-01,8.706091e-02
cg23416081_FKBP5,1,968,1,8.852859e-01,4.312331e+02,8.033735e-01,6.142393e-02
cg05849676_CLEC12B,1,645,1,8.771575e-01,4.114246e+02,8.381803e-01,1.031857e-01
cg22014325_RAMP1,1,760,1,8.725113e-01,4.274454e+02,8.829400e-01,8.203919e-02
cg21627980_DTNBP1,1,876,1,8.877518e-01,4.132424e+02,7.792483e-01,6.671714e-02
cg08340378_CA13,1,656,1,8.922613e-01,3.990133e+02,7.346176e-01,9.961800e-02
cg14402591_SEMA6B,1,385,1,8.906829e-01,3.833884e+02,7.133037e-01,1.923685e-01
cg18216637_MRPL1,1,955,1,8.960769e-01,4.154332e+02,7.228228e-01,6.238334e-02
cg23622162_UNC5B,1,623,1,8.921808e-01,3.991454e+02,7.431157e-01,1.024362e-01
cg00629585_GFI1B,1,1258,1,9.020801e-01,4.135889e+02,6.971667e-01,4.009477e-02
cg11943574_RNLS,1,969,1,8.922226e-01,4.121643e+02,7.531568e-01,6.110879e-02
cg27238645_HMGA2,1,719,1,8.875796e-01,4.149436e+02,7.695638e-01,8.670698e-02
cg22945909_TSHR,1,905,1,8.979599e-01,4.030086e+02,7.081091e-01,6.548901e-02
cg24549526_CD101,1,195,1,8.695929e-01,3.882947e+02,8.030971e-01,4.334434e-01
cg26607031_SLC25A33,1,1446,1,9.011271e-01,4.197103e+02,7.103462e-01,4.385329e-02
cg08272597_UIMC1,1,759,1,8.910869e-01,4.013449e+02,7.472206e-01,7.717800e-02
cg07149347_MKNK1,1,626,1,8.948143e-01,3.899431e+02,7.103668e-01,1.001894e-01
cg21379113_AKT3,1,926,1,8.901033e-01,4.137135e+02,7.662456e-01,6.407635e-02
cg21912448_RERE,1,1267,1,8.963775e-01,4.222443e+02,7.415295e-01,4.811417e-02
cg20008101_LGALS3,1,901,1,8.959043e-01,4.045924e+02,7.221264e-01,6.487536e-02
cg06975248_LRRFIP2,1,775,1,8.907992e-01,4.058356e+02,7.504981e-01,7.933412e-02
cg00625110_FTO,1,931,1,8.877482e-01,4.149630e+02,7.853600e-01,6.281933e-02
cg11678864_G3BP1,1,454,1,8.986977e-01,3.635173e+02,7.082937e-01,1.491583e-01
cg08166072_PRKCE,1,676,1,8.543233e-01,4.389719e+02,1.009995e+00,1.029393e-01
cg12568198_HIVEP1,1,383,1,8.876998e-01,4.035998e+02,7.193870e-01,1.872051e-01
cg24538052_TTYH3,1,756,1,8.910994e-01,4.013448e+02,7.499183e-01,8.045106e-02
cg04616709_LOC100129603,1,1019,1,8.984208e-01,4.060236e+02,7.123867e-01,5.635929e-02
cg25346117_ATP1A1,1,636,1,8.961208e-01,3.909695e+02,6.986976e-01,9.645890e-02
cg22086510_MPP4,1,940,1,8.954018e-01,4.158870e+02,7.258103e-01,6.121742e-02
cg23207176_KCNK13,1,35,1,8.545009e-01,3.609064e+02,8.797916e-01,9.712714e-01
cg19342782_HHLA3,1,779,1,8.970607e-01,3.967721e+02,7.042345e-01,7.649279e-02
cg19342782_ANKRD13C,1,779,1,8.970607e-01,3.967721e+02,7.042345e-01,7.649279e-02
cg05193970_ACOX2,1,653,1,8.815755e-01,4.075751e+02,8.079717e-01,9.930635e-02
cg22187251_GCNT2,1,563,1,8.355607e-01,4.411815e+02,1.133414e+00,1.420487e-01
cg09350930_SMAD5,1,840,1,8.894248e-01,4.104017e+02,7.647793e-01,7.076589e-02
cg20995910_SPAG1,1,984,1,8.905395e-01,4.154179e+02,7.667923e-01,5.933894e-02
cg14407220_LPP,1,756,1,8.969974e-01,3.932938e+02,7.078395e-01,7.596748e-02
cg24408573_NISCH,1,937,1,8.929247e-01,4.094672e+02,7.475054e-01,6.217285e-02
cg11203361_CUX1,1,777,1,8.757689e-01,4.206901e+02,8.634527e-01,7.996230e-02
cg17660211_PCED1B,1,906,1,8.883878e-01,4.224828e+02,7.773140e-01,6.459824e-02
cg16942632_CAMKK2,1,804,1,8.964755e-01,3.991656e+02,7.107430e-01,7.210179e-02
cg08716584_MS4A7,1,602,1,8.866951e-01,3.961627e+02,7.645831e-01,1.079203e-01
cg13654097_ANKRD17,1,999,1,8.931454e-01,4.109225e+02,7.507046e-01,5.772027e-02
cg14851700_GLUL,1,669,1,8.839646e-01,4.172592e+02,7.886020e-01,9.356007e-02
cg21372381_PRMT7,0,530,2,1.983532e+00,3.327951e+02,2.168373e-02,6.537710e-02
cg24442586_FZD6,0,1206,2,1.996227e+00,3.138804e+02,8.438571e-03,2.436754e-02
cg12008478_ZCCHC7,0,697,2,1.986827e+00,3.331633e+02,2.347139e-02,6.106590e-02
cg03471195_NINJ2,0,900,2,1.988845e+00,3.261868e+02,2.561792e-02,5.526326e-02
cg12859943_SNX14,0,896,2,1.988855e+00,3.246597e+02,2.660506e-02,5.790270e-02
cg06411521_SPTLC2,0,832,2,1.988520e+00,3.236610e+02,2.504390e-02,5.975933e-02
cg27079042_LOC100506474,0,623,2,1.986225e+00,3.210208e+02,2.255630e-02,6.510479e-02
cg16599577_CLLU1,0,637,2,1.988887e+00,3.176124e+02,4.709573e-02,6.046332e-02
cg16599577_CLLU1OS,0,637,2,1.988887e+00,3.176124e+02,4.709573e-02,6.046332e-02
cg04790356_ZNF438,0,1012,2,1.989944e+00,3.264575e+02,2.642129e-02,5.298659e-02
cg03414898_VCL,0,1008,2,1.989996e+00,3.264894e+02,2.628489e-02,5.264334e-02
cg08310748_SPTLC2,0,873,2,1.989343e+00,3.233519e+02,2.375005e-02,5.680795e-02
cg18507018_TMEM55A,0,973,2,1.990094e+00,3.241122e+02,2.480588e-02,5.425861e-02
cg00849335_PDE4B,0,842,2,1.988619e+00,3.237861e+02,2.612639e-02,6.015365e-02
cg27611767_TMOD3,0,948,2,1.989718e+00,3.238223e+02,2.555348e-02,5.568527e-02
cg04675844_SLC20A2,0,855,2,1.988962e+00,3.234470e+02,2.454393e-02,5.882700e-02
cg14422240_FTSJD2,0,1087,2,1.990848e+00,3.260724e+02,2.540145e-02,5.017523e-02
cg03511624_SESN1,0,757,2,1.987976e+00,3.232554e+02,2.379163e-02,6.166754e-02
cg02761839_RBMS1,0,800,2,1.989182e+00,3.237232e+02,2.332771e-02,5.898024e-02
cg03090145_C4orf29,0,836,2,1.989006e+00,3.233270e+02,2.324473e-02,5.825137e-02
cg25084479_SH3BP5,0,853,2,1.989146e+00,3.237599e+02,2.234652e-02,5.644069e-02
cg27391674_AP1B1,0,697,2,1.989463e+00,3.193224e+02,1.954681e-02,5.945639e-02
cg02138331_AHCY,0,801,2,1.988863e+00,3.231531e+02,2.128421e-02,5.766438e-02
cg17791799_PROM1,0,696,2,1.988178e+00,3.197518e+02,2.094154e-02,6.275965e-02
cg08244182_ZFYVE16,0,842,2,1.988302e+00,3.258349e+02,2.507034e-02,5.895418e-02
cg20901426_OGFR,0,647,2,1.987120e+00,3.210555e+02,2.125810e-02,6.218065e-02
cg06238494_EPB41,0,864,2,1.989155e+00,3.234466e+02,2.288728e-02,5.713034e-02
cg08279189_TRIM27,0,879,2,1.989340e+00,3.235227e+02,2.304002e-02,5.666600e-02
cg07275179_ATXN7,0,851,2,1.988727e+00,3.344701e+02,2.500821e-02,5.846155e-02
cg17366166_AP2A2,0,804,2,1.988835e+00,3.228622e+02,2.239987e-02,5.929513e-02
cg06765730_FNDC3B,0,891,2,1.989337e+00,3.236132e+02,2.400633e-02,5.632306e-02
cg22905603_SLC9C1,0,689,2,1.988550e+00,3.195544e+02,1.958274e-02,6.133496e-02
cg22381196_DHODH,0,840,2,1.989079e+00,3.232851e+02,2.261148e-02,5.809046e-02
cg06840062_DTNB,0,927,2,1.989495e+00,3.240121e+02,2.499812e-02,5.599465e-02
cg08377331_GNA12,0,537,2,1.990187e+00,3.010390e+02,1.359357e-02,5.933418e-02
cg00263425_LRP2BP,0,856,2,1.989829e+00,3.231991e+02,2.181778e-02,5.550930e-02
cg07737773_POLR1B,0,878,2,1.988994e+00,3.345030e+02,2.415222e-02,5.736549e-02
cg06352352_C16orf70,0,786,2,1.988650e+00,3.232195e+02,2.128015e-02,5.914093e-02
cg12650153_IKBKAP,0,1104,2,1.991078e+00,3.259543e+02,2.512652e-02,5.026821e-02
cg21480069_DHRS4L2,0,796,2,1.988721e+00,3.228410e+02,2.345970e-02,6.003035e-02
cg13176235_TTC7B,0,711,2,1.988101e+00,3.224649e+02,2.133257e-02,6.215792e-02
cg12165841_ERC1,0,716,2,1.987878e+00,3.207786e+02,2.077398e-02,6.097812e-02
cg20765522_PBX2,0,446,2,1.988758e+00,3.059681e+02,1.305655e-02,6.044281e-02
cg26312508_ZSWIM7,0,928,2,1.989636e+00,3.256084e+02,2.390680e-02,5.545577e-02
cg07302959_FAM133B,0,872,2,1.989177e+00,3.234445e+02,2.456976e-02,5.830940e-02
cg17090611_ZDHHC2,0,987,2,1.989976e+00,3.261024e+02,2.613227e-02,5.396369e-02
cg10028625_ECT2,0,907,2,1.989635e+00,3.233787e+02,2.400478e-02,5.594154e-02
cg17714232_ITGA1,0,798,2,1.988892e+00,3.228349e+02,2.203304e-02,5.955982e-02
cg25093279_RCBTB1,0,719,2,1.987467e+00,3.229274e+02,2.287711e-02,6.349128e-02
cg24656529_QDPR,0,884,2,1.989212e+00,3.236370e+02,2.460526e-02,5.685663e-02
cg16354404_FUT4,0,910,2,1.989408e+00,3.239130e+02,2.484667e-02,5.641755e-02
cg24313724_TKT,0,759,2,1.988123e+00,3.217282e+02,2.503355e-02,6.134024e-02
cg24312537_HTRA4,0,767,2,1.988000e+00,3.213267e+02,2.462424e-02,6.134434e-02
cg24312537_PLEKHA2,0,767,2,1.988000e+00,3.213267e+02,2.462424e-02,6.134434e-02
cg14000730_PLD1,0,930,2,1.989353e+00,3.248715e+02,2.740626e-02,5.652365e-02
cg04202120_AMN1,0,482,2,1.986278e+00,3.286688e+02,1.532978e-02,6.198416e-02
cg03964152_PML,0,796,2,1.989305e+00,3.229702e+02,2.039669e-02,5.770323e-02
cg16107565_TUT1,0,787,2,1.988888e+00,3.230078e+02,2.172884e-02,5.951261e-02
cg01276321_AIM1,0,865,2,1.989009e+00,3.237285e+02,2.376817e-02,5.738262e-02
cg08042254_EIF4G3,0,792,2,1.988328e+00,3.232014e+02,2.430397e-02,6.072815e-02
cg25437886_LIMD1,0,830,2,1.988802e+00,3.212737e+02,2.413495e-02,5.926514e-02
cg20574018_ADAM10,0,753,2,1.988364e+00,3.228167e+02,2.166654e-02,6.042111e-02
cg14579056_MBNL2,0,679,2,1.988522e+00,3.218460e+02,1.958878e-02,6.185914e-02
cg20896049_CLEC7A,0,815,2,1.988696e+00,3.233870e+02,2.318518e-02,5.936725e-02
cg22412298_ZDHHC20,0,833,2,1.988776e+00,3.238566e+02,2.453131e-02,5.889235e-02
cg21842916_MTA3,0,715,2,1.987893e+00,3.225804e+02,2.189137e-02,6.185096e-02
cg19055828_DIP2B,0,813,2,1.989404e+00,3.230054e+02,2.054520e-02,5.790921e-02
cg08546130_ELK3,0,732,2,1.988308e+00,3.226896e+02,2.115255e-02,6.067116e-02
cg19767339_ITGB3BP,0,898,2,1.989804e+00,3.215630e+02,2.355473e-02,5.534364e-02
cg04836884_PHF11,0,773,2,1.988533e+00,3.228428e+02,2.189659e-02,6.036198e-02
cg16396191_KIAA0564,0,759,2,1.988063e+00,3.206602e+02,2.309398e-02,6.143442e-02
cg03811164_TMEM63A,0,855,2,1.988998e+00,3.235636e+02,2.348071e-02,5.826605e-02
cg11492019_BLM,0,808,2,1.988379e+00,3.235423e+02,2.578971e-02,6.129454e-02
cg08411333_CSNK1G3,0,774,2,1.988091e+00,3.253690e+02,2.284959e-02,5.848060e-02
cg10718056_TRIM27,0,768,2,1.988133e+00,3.231298e+02,2.318726e-02,6.132221e-02
cg17351890_VPS33A,0,804,2,1.988962e+00,3.226515e+02,2.233901e-02,5.941490e-02
