Chromosome	Start	End	Score	gene_id	gene_name	Strand	Methylation_Difference	p_value	q_value
chr1	109103828	109103845	.	ENSG00000251484.3	RP5-1065J22.4	-	-0.168767	0.024	0.0032
chr1	200285110	200285181	.	ENSG00000203721.7	LINC00862	-	-0.666667	0.024	1.0
chr3	50227415	50227431	.	ENSG00000114353.17	GNAI2	+	-0.25	0.024	1.0
chr3	75669236	75669280	.	ENSG00000236138.4	DUX4L26	+	0.258333	0.0081	1.0
chr3	170280695	170280740	.	ENSG00000163558.13	PRKCI	+	-0.171717	0.024	1.0
chr3	47163718	47163731	.	ENSG00000181555.21	SETD2	-	0.239583	0.0081	1.0
chr3	100912175	100912187	.	ENSG00000154175.18	ABI3BP	-	-0.185148	0.048	0.024
chr4	146639308	146639318	.	ENSG00000151615.3	POU4F2	+	-0.666667	0.004	1.0
chr5	112893014	112893037	.	ENSG00000153037.15	SRP19	+	-0.115467	0.024	0.0079
chr5	56952177	56952187	.	ENSG00000155545.20	MIER3	-	-0.183809	0.024	0.0048
chr5	56952211	56952218	.	ENSG00000155545.20	MIER3	-	-0.156704	0.024	0.0034
chr6	106642347	106642356	.	ENSG00000130348.11	QRSL1	+	-0.133007	0.048	0.13
chr6	138837963	138838048	.	ENSG00000203734.13	ECT2L	+	-0.186508	0.024	1.0
chr6	161107043	161107050	.	ENSG00000085511.20	MAP3K4	+	-0.188542	0.028	0.014
chr8	31640313	31640328	.	ENSG00000157168.20	NRG1	+	-0.458333	0.004	1.0
chr9	93293278	93293390	.	ENSG00000165238.16	WNK2	+	-0.359524	0.024	0.0057
chr9	95506160	95506175	.	ENSG00000185920.17	PTCH1	-	-0.310348	0.004	0.0014
