Chromosome	Start	End	Score	gene_id	gene_name	Strand	Methylation_Difference	p_value	q_value
chr1	109103828	109103845	.	ENSG00000251484.3	RP5-1065J22.4	-	-0.142505	0.024	0.0018
chr1	200285110	200285181	.	ENSG00000203721.7	LINC00862	-	-0.726852	0.024	1.0
chr2	61489024	61489140	.	ENSG00000082898.19	XPO1	-	-0.100072	0.018	1.0
chr3	50227415	50227431	.	ENSG00000114353.17	GNAI2	+	-0.25	0.024	1.0
chr3	170280695	170280740	.	ENSG00000163558.13	PRKCI	+	-0.16317	0.024	0.0073
chr3	100912175	100912187	.	ENSG00000154175.18	ABI3BP	-	-0.174431	0.048	0.05
chr5	56952177	56952187	.	ENSG00000155545.20	MIER3	-	-0.176285	0.024	0.012
chr5	56952211	56952218	.	ENSG00000155545.20	MIER3	-	-0.190476	0.024	1.0
chr6	138837963	138838048	.	ENSG00000203734.13	ECT2L	+	-0.186508	0.024	1.0
chr6	161107043	161107050	.	ENSG00000085511.20	MAP3K4	+	-0.289232	0.016	0.014
chr8	31640320	31640328	.	ENSG00000157168.20	NRG1	+	-0.5	0.024	1.0
chr9	93293278	93293390	.	ENSG00000165238.16	WNK2	+	-0.307593	0.024	0.038
chr9	95506165	95506175	.	ENSG00000185920.17	PTCH1	-	-0.455357	0.024	0.0067
